event_name,model_name,timestep,well,accuracy
Abrupt Increase of BSW,DQN,1000,WELL-00001,0.7505886310124453
Abrupt Increase of BSW,DQN,1000,WELL-00006,0.4381772901662516
Abrupt Increase of BSW,DQN,150000,WELL-00001,0.9877228388832828
Abrupt Increase of BSW,DQN,150000,WELL-00006,0.9706535639765766
Abrupt Increase of BSW,DQN,150000,WELL-00001,0.9904137235116044
Abrupt Increase of BSW,DQN,150000,WELL-00006,0.9632496466312176
Abrupt Increase of BSW,DQN,150000,WELL-00006,0.9932018577101703
Abrupt Increase of BSW,DQN,150000,WELL-00001,0.9905819038008745
Abrupt Increase of BSW,IF,1,TWIN-WELL-REALTIME,0.5027932960893855
Abrupt Increase of BSW,IF,1,TWIN-WELL-REALTIME,0.553072625698324
Abrupt Increase of BSW,IF,1,TWIN-WELL-REALTIME,0.5586592178770949
Abrupt Increase of BSW,IF,1,TWIN-WELL-REALTIME,0.5921787709497207
Abrupt Increase of BSW,IF,1,TWIN-WELL-REALTIME,0.5698324022346368
Abrupt Increase of BSW,IF,1,TWIN-WELL-REALTIME,0.5363128491620112
Abrupt Increase of BSW,IF,1,TWIN-WELL-REALTIME,0.553072625698324
Abrupt Increase of BSW,IF,1,TWIN-WELL-REALTIME,0.553072625698324
Abrupt Increase of BSW,DQN,150000,TWIN-WELL-REALTIME,1.0
Abrupt Increase of BSW,RNA,1,TWIN-WELL-00001,1.0
Abrupt Increase of BSW,RNA,1,TWIN-WELL-00002,1.0
Abrupt Increase of BSW,RNA,1,TWIN-WELL-00001,1.0
Abrupt Increase of BSW,RNA,1,TWIN-WELL-00002,1.0
