Count Iteration, Accuracy (%), ACC (%), TN (%), TP (%)
1, 100.0, 99.96394515037537, 100.0, 0
2, 100.0, 99.96394515037537, 100.0, 0
3, 97.26526891522333, 99.96394515037537, 100.0, 75.84745762711864
4, 98.59578736208626, 99.96394515037537, 100.0, 53.37837837837838
5, 96.78899082568807, 99.96394515037537, 100.0, 81.09452736318407
6, 100.0, 99.96394515037537, 100.0, 0
7, 100.0, 99.96394515037537, 100.0, 0
8, 100.0, 99.96394515037537, 100.0, 0
9, 100.0, 99.96394515037537, 100.0, 0
10, 100.0, 99.96394515037537, 100.0, 0
11, 100.0, 99.96394515037537, 100.0, 0
12, 100.0, 99.96394515037537, 100.0, 0
13, 100.0, 99.96394515037537, 100.0, 0
14, 100.0, 99.96394515037537, 100.0, 0
15, 100.0, 99.96394515037537, 100.0, 0
16, 100.0, 99.96394515037537, 100.0, 0
17, 100.0, 99.96394515037537, 100.0, 0
18, 100.0, 99.96394515037537, 100.0, 0
19, 100.0, 99.96394515037537, 100.0, 0
20, 100.0, 99.96394515037537, 100.0, 0
21, 100.0, 99.96394515037537, 100.0, 0
22, 100.0, 99.96394515037537, 100.0, 0
23, 100.0, 99.96394515037537, 100.0, 0
24, 100.0, 99.96394515037537, 100.0, 0
25, 100.0, 99.96394515037537, 100.0, 0
26, 81.18948824343015, 99.96394515037537, 99.1554054054054, 0.0
