Count Iteration, Accuracy (%), ACC (%), TN (%), TP (%), TimeStep
1, 100.0, 99.9419453582675, 0.0, 100.0, 10000
2, 100.0, 99.9419453582675, 0.0, 100.0, 10000
3, 100.0, 99.9419453582675, 0.0, 100.0, 10000
4, 100.0, 99.9419453582675, 0.0, 100.0, 10000
5, 100.0, 99.9419453582675, 0.0, 100.0, 10000
6, 100.0, 99.9419453582675, 0.0, 100.0, 10000
7, 100.0, 99.9419453582675, 0.0, 100.0, 10000
1, 100.0, 100.0, 0.0, 100.0, 100000
2, 100.0, 100.0, 0.0, 100.0, 100000
3, 100.0, 100.0, 0.0, 100.0, 100000
4, 100.0, 100.0, 0.0, 100.0, 100000
5, 100.0, 100.0, 0.0, 100.0, 100000
6, 100.0, 100.0, 0.0, 100.0, 100000
7, 100.0, 100.0, 0.0, 100.0, 100000
1, 100.0, 100.0, 0.0, 100.0, 150000
2, 100.0, 100.0, 0.0, 100.0, 150000
3, 100.0, 100.0, 0.0, 100.0, 150000
4, 100.0, 100.0, 0.0, 100.0, 150000
5, 100.0, 100.0, 0.0, 100.0, 150000
6, 100.0, 100.0, 0.0, 100.0, 150000
7, 100.0, 100.0, 0.0, 100.0, 150000
1, 100.0, 100.0, 0.0, 100.0, 300000
2, 100.0, 100.0, 0.0, 100.0, 300000
3, 100.0, 100.0, 0.0, 100.0, 300000
4, 100.0, 100.0, 0.0, 100.0, 300000
5, 100.0, 100.0, 0.0, 100.0, 300000
6, 100.0, 100.0, 0.0, 100.0, 300000
7, 100.0, 100.0, 0.0, 100.0, 300000
