P-PDG,P-TPT,T-TPT,P-MON-CKP,T-JUS-CKP,class,action,well
1.0,0.2523369,-0.9686948,0.81716156,-0.92194533,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171618,-0.92194533,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171628,-0.9219455,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171628,-0.9219455,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81716573,-0.92194575,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81716573,-0.92194575,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171674,-0.92194575,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171681,-0.92194575,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81716865,-0.9219459,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171737,-0.92194635,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171757,-0.9219465,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171769,-0.9219465,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171791,-0.9219467,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81717956,-0.9219467,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171842,-0.9219471,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81718904,-0.9219475,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171893,-0.9219475,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81719464,-0.9219477,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81719464,-0.9219477,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171971,-0.9219481,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171978,-0.9219481,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81719804,-0.9219481,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171983,-0.9219481,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171993,-0.92194825,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171995,-0.92194825,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8171995,-0.92194825,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172012,-0.92194825,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81720173,-0.92194825,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172034,-0.9219485,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172041,-0.9219485,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81720436,-0.9219485,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81721044,-0.92194885,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81721044,-0.92194885,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172112,-0.92194885,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172112,-0.92194885,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172119,-0.921949,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172131,-0.921949,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172151,-0.92194927,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172163,-0.92194945,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172168,-0.92194945,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81721973,-0.9219496,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172202,-0.9219496,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81722265,-0.92194986,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81722677,-0.9219502,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.817229,-0.9219502,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81723136,-0.9219504,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81723166,-0.9219504,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172331,-0.92195064,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172338,-0.9219508,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81723404,-0.9219508,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172343,-0.9219508,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.8172348,-0.9219508,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81723744,-0.9219508,0,0,WELL-00001
1.0,0.2523369,-0.9686948,0.81723845,-0.921951,0,0,WELL-00001
